S.No,District,Total Positive Cases as on 13.05.2021,Discharged Cases as on 13.05.2021,Active Cases as on 13.05.2021,Death Cases as on 13.05.2021
1,Ariyalur,6895,5996,845,54
2,Chengalpattu,107038,91793,14094,1151
3,Chennai,419261,371136,42579,5546
4,Coimbatore,106030,88935,16271,824
5,Cuddalore,35840,32042,3416,382
6,Dharmapuri,12500,10646,1776,78
7,Dindigul,19634,17200,2182,252
8,Erode,30254,24932,5142,180
9,Kallakurichi,14831,13241,1472,118
10,Kancheepuram,47085,41757,4649,679
11,Kanniyakumari,29489,24308,4771,410
12,Karur,10766,9141,1542,83
13,Krishnagiri,20851,16562,4136,153
14,Madurai,43581,35340,7605,636
15,Nagapattinam,17630,15398,2020,212
16,Namakkal,20386,18000,2237,149
17,Nilgiris,11699,10521,1119,59
18,Perambalur,4083,2916,1135,32
19,Pudukkottai,16197,14533,1493,171
20,Ramanathapuram,11229,9399,1683,147
21,Ranipet,25622,23049,2309,264
22,Salem,49371,44618,4115,638
23,Sivaganga,10529,9190,1200,139
24,Tenkasi,15092,12813,2055,224
25,Thanjavur,32284,27461,4454,369
26,Theni,25525,21936,3337,252
27,Thoothukudi,32632,27661,4792,179
28,Tiruchirappalli,32932,26827,5797,308
29,Tirunelveli,33664,28005,5378,281
30,Tirupathur,13489,11035,2243,211
31,Tiruppur,33886,28867,4753,266
32,Tiruvallur,76000,67037,7999,964
33,Tiruvannamalai,29206,25367,3502,337
34,Tiruvarur,18687,16641,1902,144
35,Vellore,33692,29419,3819,454
36,Villupuram,24400,21603,2649,148
37,Virudhunagar,24688,21117,3299,272
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1499485,1298945,183772,16768
